Name	Length
Zm00001eb166150_T003	2650
Zm00001eb166160_T002	770
Zm00001eb166170_T001	996
Zm00001eb166180_T001	1668
Zm00001eb166190_T002	1525
Zm00001eb166200_T001	530
Zm00001eb166210_T003	2120
Zm00001eb166220_T001	2833
Zm00001eb166230_T001	1733
Zm00001eb166240_T001	2408
Zm00001eb166250_T001	2104
Zm00001eb166260_T005	2218
Zm00001eb166270_T001	655
Zm00001eb166280_T001	484
Zm00001eb166290_T001	408
Zm00001eb166300_T001	560
Zm00001eb166310_T001	303
Zm00001eb166320_T001	664
Zm00001eb166340_T001	1101
Zm00001eb166360_T001	991
Zm00001eb166370_T001	201
Zm00001eb166380_T001	1165
Zm00001eb166390_T001	1219
Zm00001eb166400_T002	1170
Zm00001eb166410_T001	1379
Zm00001eb166420_T001	267
Zm00001eb166430_T001	1524
Zm00001eb166440_T007	1919
Zm00001eb166450_T001	836
Zm00001eb166460_T002	1976
Zm00001eb166470_T001	384
Zm00001eb166480_T001	653
Zm00001eb166490_T002	1154
Zm00001eb166510_T001	622
Zm00001eb166520_T001	597
Zm00001eb166530_T001	562
Zm00001eb166540_T001	1124
Zm00001eb166550_T001	5265
Zm00001eb166560_T001	1139
Zm00001eb166570_T001	1374
Zm00001eb166580_T001	993
Zm00001eb166590_T001	616
Zm00001eb166600_T001	976
Zm00001eb166610_T001	1227
Zm00001eb166620_T001	1216
Zm00001eb166630_T001	1073
Zm00001eb166640_T001	699
Zm00001eb166650_T001	1170
Zm00001eb166660_T001	992
Zm00001eb166670_T001	1000
Zm00001eb166680_T001	1963
Zm00001eb166690_T001	2542
Zm00001eb166700_T001	2504
Zm00001eb166710_T001	1719
Zm00001eb166740_T001	846
Zm00001eb166750_T001	2205
Zm00001eb166760_T001	931
Zm00001eb166770_T001	3694
Zm00001eb166790_T001	1105
Zm00001eb166800_T001	1797
Zm00001eb166810_T001	4632
Zm00001eb166820_T001	2039
Zm00001eb166830_T001	798
Zm00001eb166840_T001	1038
Zm00001eb166850_T002	1745
Zm00001eb166860_T001	519
Zm00001eb166870_T001	1370
Zm00001eb166880_T001	309
Zm00001eb166890_T001	387
Zm00001eb166900_T001	387
Zm00001eb166910_T001	387
Zm00001eb166920_T001	897
Zm00001eb166930_T001	859
Zm00001eb166940_T001	1043
Zm00001eb166950_T004	1127
Zm00001eb166960_T001	1079
Zm00001eb166970_T001	1026
Zm00001eb166980_T002	2027
Zm00001eb166990_T002	1991
Zm00001eb167000_T001	1104
Zm00001eb167010_T001	5166
Zm00001eb167020_T001	923
Zm00001eb167030_T001	502
Zm00001eb167040_T001	585
Zm00001eb167050_T001	735
Zm00001eb167060_T001	1846
Zm00001eb167070_T001	1654
Zm00001eb167080_T001	1674
Zm00001eb167090_T001	1727
Zm00001eb167100_T001	1395
Zm00001eb167110_T001	1197
Zm00001eb167120_T002	2849
Zm00001eb167130_T001	1945
Zm00001eb167140_T001	3284
Zm00001eb167150_T006	3194
Zm00001eb167160_T002	3290
Zm00001eb167200_T001	1280
Zm00001eb167210_T001	2393
Zm00001eb167220_T001	1629
Zm00001eb167230_T001	2411
Zm00001eb167240_T004	2799
Zm00001eb167250_T001	1190
Zm00001eb167260_T001	1347
Zm00001eb167270_T001	744
Zm00001eb167280_T001	479
Zm00001eb167290_T001	2187
Zm00001eb167300_T003	1659
Zm00001eb167310_T003	1457
Zm00001eb167320_T003	2222
Zm00001eb167330_T001	594
Zm00001eb167340_T001	1452
Zm00001eb167350_T001	631
Zm00001eb167360_T001	1998
Zm00001eb167370_T001	1751
Zm00001eb167380_T001	581
Zm00001eb167390_T001	273
Zm00001eb167400_T001	405
Zm00001eb167410_T001	965
Zm00001eb167430_T002	1494
Zm00001eb167440_T001	696
Zm00001eb167460_T001	339
Zm00001eb167470_T001	222
Zm00001eb167480_T001	542
Zm00001eb167490_T001	708
Zm00001eb167500_T001	813
Zm00001eb167510_T002	1172
Zm00001eb167520_T001	2753
Zm00001eb167530_T001	2179
Zm00001eb167540_T001	2076
Zm00001eb167550_T001	3280
Zm00001eb167560_T001	1393
Zm00001eb167570_T001	986
Zm00001eb167580_T001	1912
Zm00001eb167590_T001	771
Zm00001eb167600_T001	414
Zm00001eb167610_T001	768
Zm00001eb167620_T001	696
Zm00001eb167630_T001	374
Zm00001eb167640_T001	300
Zm00001eb167650_T001	1048
Zm00001eb167660_T002	2069
Zm00001eb167670_T002	2228
Zm00001eb167680_T001	1176
Zm00001eb167690_T003	1043
Zm00001eb167700_T001	814
Zm00001eb167710_T001	949
Zm00001eb167720_T001	822
Zm00001eb167740_T001	2123
Zm00001eb167750_T001	2133
Zm00001eb167760_T001	480
Zm00001eb167770_T002	724
Zm00001eb167780_T002	3861
Zm00001eb167790_T001	1204
Zm00001eb167810_T001	2191
Zm00001eb167820_T001	3596
Zm00001eb167830_T001	3934
Zm00001eb167840_T003	2353
Zm00001eb167850_T002	1370
Zm00001eb167860_T001	1234
Zm00001eb167870_T001	672
Zm00001eb167880_T001	1413
Zm00001eb167890_T001	450
Zm00001eb167900_T001	1606
Zm00001eb167910_T001	3942
Zm00001eb167920_T001	486
Zm00001eb167930_T001	402
Zm00001eb167940_T003	2169
Zm00001eb167950_T001	1303
Zm00001eb167960_T001	794
Zm00001eb167970_T001	525
Zm00001eb167980_T001	795
Zm00001eb168000_T003	3690
Zm00001eb168010_T001	1311
Zm00001eb168020_T001	620
Zm00001eb168030_T001	360
Zm00001eb168040_T001	1345
Zm00001eb168050_T001	2404
Zm00001eb168070_T002	3352
Zm00001eb168080_T001	1140
Zm00001eb168090_T002	901
Zm00001eb168100_T001	1404
Zm00001eb168110_T001	849
Zm00001eb168120_T002	2331
Zm00001eb168130_T001	1530
Zm00001eb168140_T001	1652
Zm00001eb168150_T001	564
Zm00001eb168160_T001	1335
Zm00001eb168170_T001	1899
Zm00001eb168180_T001	563
Zm00001eb168190_T001	1304
Zm00001eb168200_T001	1692
Zm00001eb168210_T001	339
Zm00001eb168220_T001	2231
Zm00001eb168250_T001	504
Zm00001eb168260_T003	2721
Zm00001eb168270_T001	2806
Zm00001eb168280_T001	711
Zm00001eb168290_T001	1444
Zm00001eb168300_T001	710
Zm00001eb168310_T002	1047
Zm00001eb168320_T001	837
Zm00001eb168340_T002	1849
Zm00001eb168350_T001	1102
Zm00001eb168360_T001	859
Zm00001eb168370_T001	562
Zm00001eb168380_T001	1367
Zm00001eb168390_T001	363
Zm00001eb168400_T002	724
Zm00001eb168410_T003	2614
Zm00001eb168430_T001	1764
Zm00001eb168440_T001	2356
Zm00001eb168450_T001	2481
Zm00001eb168470_T001	1540
Zm00001eb168480_T001	2668
Zm00001eb168490_T001	561
Zm00001eb168500_T001	1184
Zm00001eb168510_T001	1921
Zm00001eb168520_T001	2261
Zm00001eb168530_T001	432
Zm00001eb168540_T001	1061
Zm00001eb168550_T001	1695
Zm00001eb168560_T001	609
Zm00001eb168570_T001	571
Zm00001eb168580_T001	348
Zm00001eb168590_T001	592
Zm00001eb168600_T001	534
Zm00001eb168610_T001	246
Zm00001eb168620_T001	2514
Zm00001eb168630_T001	615
Zm00001eb168640_T001	2448
Zm00001eb168650_T001	1095
Zm00001eb168660_T001	774
Zm00001eb168670_T001	4909
Zm00001eb168680_T001	1484
Zm00001eb168690_T001	1134
Zm00001eb168700_T001	1382
Zm00001eb168710_T001	1488
Zm00001eb168720_T001	1408
Zm00001eb168730_T005	2119
Zm00001eb168740_T002	2875
Zm00001eb168750_T001	1332
Zm00001eb168760_T004	1763
Zm00001eb168770_T001	2163
Zm00001eb168780_T001	529
Zm00001eb168790_T001	3210
Zm00001eb168800_T001	408
Zm00001eb168810_T001	1924
Zm00001eb168820_T001	1054
Zm00001eb168830_T001	1761
Zm00001eb168840_T001	1785
Zm00001eb168850_T001	930
Zm00001eb168870_T001	2194
Zm00001eb168880_T001	2684
Zm00001eb168890_T001	1470
Zm00001eb168900_T001	1622
Zm00001eb168910_T001	2111
Zm00001eb168920_T002	2681
Zm00001eb168930_T001	1001
Zm00001eb168940_T001	1992
Zm00001eb168950_T001	1878
Zm00001eb168970_T001	504
Zm00001eb168980_T001	859
Zm00001eb168990_T002	744
Zm00001eb169000_T001	315
Zm00001eb169010_T001	1382
Zm00001eb169020_T002	1651
Zm00001eb169030_T001	3129
Zm00001eb169040_T003	3771
Zm00001eb169050_T001	3637
Zm00001eb169070_T001	255
Zm00001eb169080_T001	2900
Zm00001eb169090_T001	1520
Zm00001eb169100_T001	1069
Zm00001eb169110_T001	821
Zm00001eb169120_T001	984
Zm00001eb169130_T001	1949
Zm00001eb169140_T001	759
Zm00001eb169150_T001	3330
Zm00001eb169160_T001	1171
Zm00001eb169170_T001	1045
Zm00001eb169180_T001	2072
Zm00001eb169190_T001	4349
Zm00001eb169200_T002	1657
Zm00001eb169210_T002	922
Zm00001eb169220_T001	3288
Zm00001eb169230_T001	3305
Zm00001eb169240_T001	1708
Zm00001eb169250_T001	372
Zm00001eb169260_T001	516
Zm00001eb169270_T001	297
Zm00001eb169280_T001	1459
Zm00001eb169290_T003	1637
Zm00001eb169300_T001	1768
Zm00001eb169310_T001	2778
Zm00001eb169320_T001	830
Zm00001eb169330_T001	927
Zm00001eb169340_T001	1993
Zm00001eb169350_T001	3749
Zm00001eb169360_T001	2100
Zm00001eb169370_T002	1504
Zm00001eb169380_T001	1345
Zm00001eb169390_T001	1135
Zm00001eb169400_T001	2040
Zm00001eb169410_T002	1607
Zm00001eb169420_T001	757
Zm00001eb169430_T001	2256
Zm00001eb169440_T001	1757
Zm00001eb169450_T001	2134
Zm00001eb169460_T001	1184
Zm00001eb169470_T001	1384
Zm00001eb169480_T001	1869
Zm00001eb169490_T004	1072
Zm00001eb169500_T001	1270
Zm00001eb169510_T001	1570
Zm00001eb169520_T001	1826
Zm00001eb169540_T001	1655
Zm00001eb169550_T001	541
Zm00001eb169560_T001	1417
Zm00001eb169570_T001	2514
Zm00001eb169580_T008	2547
Zm00001eb169590_T001	1205
Zm00001eb169600_T001	1161
Zm00001eb169610_T001	3246
Zm00001eb169620_T001	1860
Zm00001eb169630_T001	1885
Zm00001eb169640_T002	710
Zm00001eb169650_T001	299
Zm00001eb169670_T001	3106
Zm00001eb169680_T001	1391
Zm00001eb169690_T001	855
Zm00001eb169700_T001	462
Zm00001eb169710_T001	2102
Zm00001eb169720_T001	800
Zm00001eb169730_T001	627
Zm00001eb169740_T002	2817
Zm00001eb169750_T001	864
Zm00001eb169760_T001	1083
Zm00001eb169770_T002	3973
Zm00001eb169780_T001	1587
Zm00001eb169790_T004	1916
Zm00001eb169800_T004	2104
Zm00001eb169810_T001	1006
Zm00001eb169820_T001	405
Zm00001eb169830_T001	744
Zm00001eb169840_T001	1321
Zm00001eb169850_T001	1467
Zm00001eb169870_T001	1717
Zm00001eb169880_T001	1469
Zm00001eb169890_T001	800
Zm00001eb169900_T001	715
Zm00001eb169910_T003	1434
Zm00001eb169920_T001	2206
Zm00001eb169930_T001	834
Zm00001eb169940_T002	1256
Zm00001eb169950_T002	1659
Zm00001eb169960_T001	1377
Zm00001eb169970_T004	1035
Zm00001eb169980_T001	1556
Zm00001eb169990_T002	1860
Zm00001eb170000_T001	330
Zm00001eb170010_T001	249
Zm00001eb170020_T001	2172
Zm00001eb170030_T001	1323
Zm00001eb170040_T001	2272
Zm00001eb170050_T001	1308
Zm00001eb170060_T001	727
Zm00001eb170070_T001	1184
Zm00001eb170080_T001	1560
Zm00001eb170090_T001	1303
Zm00001eb170100_T001	1846
Zm00001eb170110_T001	2328
Zm00001eb170120_T001	1452
Zm00001eb170130_T001	435
Zm00001eb170140_T001	4046
Zm00001eb170150_T001	1413
Zm00001eb170160_T001	865
Zm00001eb170170_T001	992
Zm00001eb170180_T001	999
Zm00001eb170190_T002	2013
Zm00001eb170200_T001	349
Zm00001eb170210_T001	2813
Zm00001eb170220_T001	2025
Zm00001eb170230_T002	1674
Zm00001eb170240_T001	2438
Zm00001eb170250_T001	1239
Zm00001eb170270_T001	522
Zm00001eb170300_T001	1734
Zm00001eb170330_T001	1053
Zm00001eb170340_T001	5787
Zm00001eb170350_T002	1817
Zm00001eb170360_T002	2735
Zm00001eb170370_T001	780
Zm00001eb170390_T001	2196
Zm00001eb170400_T001	1411
Zm00001eb170420_T001	600
Zm00001eb170430_T001	439
Zm00001eb170440_T001	1966
Zm00001eb170450_T001	552
Zm00001eb170460_T001	3997
Zm00001eb170470_T002	558
Zm00001eb170480_T002	620
Zm00001eb170490_T001	384
Zm00001eb170500_T001	554
Zm00001eb170510_T002	1724
Zm00001eb170520_T003	4891
Zm00001eb170530_T001	2069
Zm00001eb170540_T003	3278
Zm00001eb170550_T001	1286
Zm00001eb170560_T001	1774
Zm00001eb170580_T001	1868
Zm00001eb170590_T001	1573
Zm00001eb170600_T001	552
Zm00001eb170610_T004	1291
Zm00001eb170620_T001	438
Zm00001eb170630_T001	676
Zm00001eb170640_T001	411
Zm00001eb170650_T003	2301
Zm00001eb170670_T001	883
Zm00001eb170680_T001	700
Zm00001eb170690_T002	906
Zm00001eb170700_T001	207
Zm00001eb170710_T001	273
Zm00001eb170720_T004	1905
Zm00001eb170730_T001	1324
Zm00001eb170740_T001	2810
Zm00001eb170750_T001	566
Zm00001eb170760_T001	1910
Zm00001eb170770_T001	1563
Zm00001eb170780_T001	264
Zm00001eb170800_T001	1245
Zm00001eb170810_T007	1330
Zm00001eb170820_T001	936
Zm00001eb170830_T001	2800
Zm00001eb170840_T001	1959
Zm00001eb170850_T001	374
Zm00001eb170860_T001	562
Zm00001eb170870_T002	1268
Zm00001eb170880_T001	213
Zm00001eb170890_T001	624
Zm00001eb170900_T001	2201
Zm00001eb170920_T001	1090
Zm00001eb170930_T001	1117
Zm00001eb170940_T001	582
Zm00001eb170950_T002	2868
Zm00001eb170960_T001	504
Zm00001eb170970_T002	1138
Zm00001eb170980_T002	1018
Zm00001eb170990_T001	3663
Zm00001eb171000_T001	2342
Zm00001eb171010_T001	2429
Zm00001eb171020_T001	3577
Zm00001eb171030_T001	792
Zm00001eb171040_T002	1802
Zm00001eb171050_T001	1632
Zm00001eb171060_T004	2866
Zm00001eb171070_T001	2346
Zm00001eb171080_T001	1853
Zm00001eb171090_T001	2813
Zm00001eb171100_T003	1736
Zm00001eb171110_T001	2170
Zm00001eb171130_T001	2741
Zm00001eb171140_T001	3674
Zm00001eb171150_T001	246
Zm00001eb171160_T001	1449
Zm00001eb171180_T002	3370
Zm00001eb171190_T002	1833
Zm00001eb171200_T001	231
Zm00001eb171210_T003	2071
Zm00001eb171220_T001	642
Zm00001eb171230_T001	879
Zm00001eb171240_T003	697
Zm00001eb171250_T001	1842
Zm00001eb171260_T002	1781
Zm00001eb171270_T001	1608
Zm00001eb171280_T001	330
Zm00001eb171300_T001	642
Zm00001eb171310_T001	693
Zm00001eb171320_T003	2500
Zm00001eb171330_T001	2289
Zm00001eb171340_T001	1892
Zm00001eb171350_T001	717
Zm00001eb171360_T001	471
Zm00001eb171370_T001	570
Zm00001eb171380_T001	2779
Zm00001eb171400_T001	1076
Zm00001eb171410_T001	2290
Zm00001eb171420_T001	959
Zm00001eb171430_T001	330
Zm00001eb171440_T002	3611
Zm00001eb171460_T001	1678
Zm00001eb171470_T001	1228
Zm00001eb171480_T001	2591
Zm00001eb171490_T001	1008
Zm00001eb171500_T001	1059
Zm00001eb171510_T001	1040
Zm00001eb171520_T001	876
Zm00001eb171530_T001	999
Zm00001eb171540_T001	962
Zm00001eb171550_T001	794
Zm00001eb171560_T001	384
Zm00001eb171570_T001	772
Zm00001eb171580_T001	969
Zm00001eb171590_T002	932
Zm00001eb171600_T001	687
Zm00001eb171610_T001	1036
Zm00001eb171620_T001	582
Zm00001eb171630_T001	971
Zm00001eb171640_T001	687
Zm00001eb171650_T001	867
Zm00001eb171660_T001	974
Zm00001eb171690_T001	1915
Zm00001eb171700_T002	1584
Zm00001eb171710_T004	6052
Zm00001eb171720_T001	3205
Zm00001eb171740_T002	1409
Zm00001eb171750_T001	3991
Zm00001eb171760_T001	1431
Zm00001eb171770_T001	1482
Zm00001eb171780_T003	3975
Zm00001eb171790_T001	7747
Zm00001eb171800_T001	573
Zm00001eb171810_T001	1397
Zm00001eb171820_T001	1957
Zm00001eb171840_T001	2581
Zm00001eb171850_T001	846
Zm00001eb171860_T001	606
Zm00001eb171870_T001	738
Zm00001eb171880_T001	2441
Zm00001eb171910_T001	975
Zm00001eb171920_T001	2401
Zm00001eb171930_T001	1000
Zm00001eb171940_T001	1138
Zm00001eb171950_T001	1224
Zm00001eb171960_T001	536
Zm00001eb171970_T001	924
Zm00001eb171980_T001	282
Zm00001eb171990_T001	2268
Zm00001eb172000_T002	2980
Zm00001eb172010_T001	993
Zm00001eb172020_T001	1077
Zm00001eb172030_T001	358
Zm00001eb172040_T001	2786
Zm00001eb172050_T001	558
Zm00001eb172060_T002	1283
Zm00001eb172070_T001	1338
Zm00001eb172080_T001	2014
Zm00001eb172090_T002	2851
Zm00001eb172100_T001	2376
Zm00001eb172110_T002	1435
Zm00001eb172120_T001	1406
Zm00001eb172130_T001	1889
Zm00001eb172140_T002	1376
Zm00001eb172150_T001	1284
Zm00001eb172160_T001	1191
Zm00001eb172170_T001	1591
Zm00001eb172180_T001	1687
Zm00001eb172190_T001	1369
Zm00001eb172200_T001	800
Zm00001eb172210_T001	843
Zm00001eb172230_T001	4808
Zm00001eb172240_T001	1775
Zm00001eb172250_T001	888
Zm00001eb172260_T001	1149
Zm00001eb172270_T002	1832
Zm00001eb172280_T002	2263
Zm00001eb172290_T001	1412
Zm00001eb172300_T001	1520
Zm00001eb172310_T001	1682
Zm00001eb172330_T001	645
Zm00001eb172340_T001	1346
Zm00001eb172350_T001	1518
Zm00001eb172360_T001	1051
Zm00001eb172370_T001	774
Zm00001eb172380_T001	1308
Zm00001eb172390_T001	1863
Zm00001eb172400_T001	907
Zm00001eb172410_T003	2653
Zm00001eb172420_T001	1672
Zm00001eb172450_T005	2830
Zm00001eb172460_T001	531
Zm00001eb172470_T001	708
Zm00001eb172480_T001	855
Zm00001eb172490_T001	489
Zm00001eb172500_T001	1674
Zm00001eb172510_T001	1375
Zm00001eb172520_T001	1519
Zm00001eb172530_T001	351
Zm00001eb172540_T001	2689
Zm00001eb172550_T001	1993
Zm00001eb172560_T001	1921
Zm00001eb172570_T002	841
Zm00001eb172580_T002	1253
Zm00001eb172590_T001	2233
Zm00001eb172600_T001	582
Zm00001eb172610_T001	249
Zm00001eb172620_T001	852
Zm00001eb172630_T002	2827
Zm00001eb172640_T001	282
Zm00001eb172650_T003	3511
